Target: SCD1

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 12:23:14.480    01 Jan 2000 12:35:09.679      715.19932713    
01 Jan 2000 14:09:46.884    01 Jan 2000 14:21:23.199      696.31569986    
01 Jan 2000 15:57:38.540    01 Jan 2000 16:07:17.990      579.45027781    
01 Jan 2000 17:45:23.405    01 Jan 2000 17:54:10.093      526.68769844    
01 Jan 2000 19:31:46.605    01 Jan 2000 19:42:11.279      624.67324025    
01 Jan 2000 21:17:39.720    01 Jan 2000 21:29:40.959      721.23876612    
01 Jan 2000 23:04:17.637    01 Jan 2000 23:15:36.287      678.65086596    
02 Jan 2000 00:53:40.330    02 Jan 2000 00:58:53.359      313.02886092    
02 Jan 2000 09:53:23.350    02 Jan 2000 09:57:47.068      263.71739722    
02 Jan 2000 11:36:21.422    02 Jan 2000 11:47:30.805      669.38335437    
02 Jan 2000 13:22:10.865    02 Jan 2000 13:34:13.119      722.25449594    
02 Jan 2000 15:09:36.408    02 Jan 2000 15:20:06.854      630.44564469    
02 Jan 2000 16:57:38.305    02 Jan 2000 17:06:26.811      528.50570746    
02 Jan 2000 18:44:34.613    02 Jan 2000 18:54:08.641      574.02744682    
02 Jan 2000 20:30:30.317    02 Jan 2000 20:42:02.940      692.62294744    
02 Jan 2000 22:16:41.122    02 Jan 2000 22:28:40.633      719.51138255    
03 Jan 2000 00:04:28.424    03 Jan 2000 00:13:21.991      533.56715846    
03 Jan 2000 10:49:51.162    03 Jan 2000 10:59:27.669      576.50704418    
03 Jan 2000 12:34:51.112    03 Jan 2000 12:46:55.158      724.04546358    
03 Jan 2000 14:21:41.361    03 Jan 2000 14:32:59.883      678.52165442    
03 Jan 2000 16:09:40.316    03 Jan 2000 16:18:59.410      559.09357716    
03 Jan 2000 17:57:11.948    03 Jan 2000 18:06:07.914      535.96651208    
03 Jan 2000 19:43:23.569    03 Jan 2000 19:54:11.359      647.79010497    
03 Jan 2000 21:29:19.545    03 Jan 2000 21:41:26.436      726.89059123    
03 Jan 2000 23:16:14.415    03 Jan 2000 23:27:00.964      646.54865186    
04 Jan 2000 10:03:57.654    04 Jan 2000 10:10:41.270      403.61679745    
04 Jan 2000 11:47:49.273    04 Jan 2000 11:59:24.202      694.92928645    
04 Jan 2000 13:33:58.679    04 Jan 2000 13:45:51.838      713.15876663    
