Target: CBERS4A

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jan 2000 17:35:09.289    02 Jan 2000 17:44:51.306      582.01688498    
03 Jan 2000 04:20:50.486    03 Jan 2000 04:30:47.048      596.56219905    
03 Jan 2000 06:00:20.525    03 Jan 2000 06:08:52.716      512.19105043    
03 Jan 2000 15:24:51.193    03 Jan 2000 15:27:36.969      165.77613921    
03 Jan 2000 16:59:11.274    03 Jan 2000 17:10:26.588      675.31388352    
04 Jan 2000 03:47:39.932    04 Jan 2000 03:53:30.768      350.83573032    
04 Jan 2000 05:24:09.729    04 Jan 2000 05:34:58.899      649.16993303    
04 Jan 2000 16:24:05.067    04 Jan 2000 16:35:16.490      671.42346350    
04 Jan 2000 18:07:14.963    04 Jan 2000 18:10:09.617      174.65374740    
05 Jan 2000 04:48:47.508    05 Jan 2000 05:00:07.055      679.54679502    
05 Jan 2000 15:49:51.161    05 Jan 2000 15:59:22.786      571.62568707    
05 Jan 2000 17:28:51.657    05 Jan 2000 17:38:05.083      553.42603724    
06 Jan 2000 04:14:07.816    06 Jan 2000 04:24:25.642      617.82658406    
06 Jan 2000 05:54:05.879    06 Jan 2000 06:01:58.828      472.94849743    


Number of events : 18


Observer: CE
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:28:23.297    01 Jan 2000 16:39:04.913      641.61609022    
01 Jan 2000 18:09:17.428    01 Jan 2000 18:15:52.125      394.69727513    
02 Jan 2000 04:57:49.151    02 Jan 2000 05:09:10.736      681.58522567    
02 Jan 2000 15:54:42.376    02 Jan 2000 16:02:36.292      473.91537636    
02 Jan 2000 17:32:19.236    02 Jan 2000 17:42:34.507      615.27071663    
03 Jan 2000 04:23:08.811    03 Jan 2000 04:33:34.441      625.63029350    
03 Jan 2000 06:03:32.116    03 Jan 2000 06:10:45.099      432.98249891    
03 Jan 2000 16:56:36.613    03 Jan 2000 17:08:00.493      683.88014414    
04 Jan 2000 03:49:37.749    04 Jan 2000 03:56:49.367      431.61843941    
04 Jan 2000 05:26:51.734    04 Jan 2000 05:37:16.652      624.91880225    
04 Jan 2000 16:21:43.093    04 Jan 2000 16:32:39.100      656.00697412    
04 Jan 2000 18:03:20.521    04 Jan 2000 18:08:43.242      322.72053317    
05 Jan 2000 04:51:16.438    05 Jan 2000 05:02:37.943      681.50551943    
05 Jan 2000 15:47:48.227    05 Jan 2000 15:56:23.407      515.18035540    
05 Jan 2000 17:25:58.057    05 Jan 2000 17:35:50.302      592.24546936    
06 Jan 2000 04:16:27.755    06 Jan 2000 04:27:10.157      642.40251475    
06 Jan 2000 05:57:27.865    06 Jan 2000 06:03:41.933      374.06826656    


Number of events : 17


Observer: ES
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:32:48.415    01 Jan 2000 16:43:49.907      661.49227931    
01 Jan 2000 18:14:34.887    01 Jan 2000 18:20:18.559      343.67234381    
02 Jan 2000 04:53:37.701    02 Jan 2000 05:04:32.989      655.28794922    
02 Jan 2000 06:34:29.383    02 Jan 2000 06:40:57.265      387.88200142    
02 Jan 2000 15:58:42.086    02 Jan 2000 16:07:53.293      551.20682276    
02 Jan 2000 17:37:12.538    02 Jan 2000 17:47:04.290      591.75248269    
03 Jan 2000 04:19:23.957    03 Jan 2000 04:28:15.990      532.03337548    
03 Jan 2000 05:57:48.544    03 Jan 2000 06:07:44.833      596.28846600    
03 Jan 2000 15:26:19.182    03 Jan 2000 15:30:28.440      249.25754021    
03 Jan 2000 17:01:16.714    03 Jan 2000 17:12:32.532      675.81759703    
04 Jan 2000 03:47:52.208    04 Jan 2000 03:49:08.265      76.056810922    
04 Jan 2000 05:22:06.334    04 Jan 2000 05:33:19.604      673.26962283    
04 Jan 2000 16:26:10.737    04 Jan 2000 16:37:21.194      670.45695012    
04 Jan 2000 18:08:48.238    04 Jan 2000 18:13:04.026      255.78777285    
05 Jan 2000 04:47:00.856    05 Jan 2000 04:58:05.907      665.05075491    
05 Jan 2000 06:28:25.624    05 Jan 2000 06:33:50.107      324.48297237    
05 Jan 2000 15:51:54.465    05 Jan 2000 16:01:32.257      577.79113183    
05 Jan 2000 17:30:54.109    05 Jan 2000 17:40:20.100      565.99090698    
06 Jan 2000 04:12:37.566    06 Jan 2000 04:22:00.011      562.44487254    
06 Jan 2000 05:51:25.959    06 Jan 2000 06:00:59.182      573.22337095    


Number of events : 20


Observer: GO
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:33:50.666    01 Jan 2000 16:42:08.685      498.01953047    
01 Jan 2000 18:11:36.711    01 Jan 2000 18:21:54.921      618.21044872    
02 Jan 2000 04:56:08.964    02 Jan 2000 05:04:50.603      521.63855658    
02 Jan 2000 06:34:27.494    02 Jan 2000 06:44:22.344      594.85075503    
02 Jan 2000 17:35:53.055    02 Jan 2000 17:47:15.233      682.17801974    
03 Jan 2000 05:58:43.749    03 Jan 2000 06:09:57.758      674.00945141    
03 Jan 2000 17:00:58.423    03 Jan 2000 17:11:55.403      656.98000118    
03 Jan 2000 18:42:34.359    03 Jan 2000 18:48:25.403      351.04467639    
