Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s),rev_time,day,coverage
CBERS4A,AM,2000-01-05 17:27:02.275,2000-01-05 17:36:57.830,595.55504801,38655.481,2000-01-05,0.0068929982
CBERS4A,AM,2000-01-05 19:06:35.427,2000-01-05 19:15:04.219,508.79260213,5377.597,2000-01-05,0.0058888033
CBERS4A,AM,2000-01-06 05:56:28.838,2000-01-06 06:07:42.111,673.27308099,38484.619,2000-01-06,0.0077925125
CBERS4A,AP,2000-01-01 16:32:32.818,2000-01-01 16:34:28.298,115.47987523,0.0,2000-01-01,0.0013365726
CBERS4A,AP,2000-01-01 18:06:40.265,2000-01-01 18:17:53.912,673.64700775,5531.967,2000-01-01,0.0077968404
CBERS4A,AP,2000-01-02 05:00:36.695,2000-01-02 05:09:54.455,557.76002757,38562.783,2000-01-02,0.0064555559
CBERS4A,AP,2000-01-02 06:39:30.648,2000-01-02 06:48:38.863,548.21521224,5376.193,2000-01-02,0.0063450835
CBERS4A,AP,2000-01-02 17:31:31.418,2000-01-02 17:42:47.166,675.74823762,38572.555,2000-01-02,0.0078211602
CBERS4A,AP,2000-01-03 04:28:31.140,2000-01-03 04:31:49.965,198.82516377,38743.974,2000-01-03,0.0023012172
CBERS4A,AP,2000-01-03 06:03:25.236,2000-01-03 06:14:30.257,665.02032608,5495.271,2000-01-03,0.0076969945
CBERS4A,AP,2000-01-03 16:57:14.071,2000-01-03 17:06:50.204,576.13334656,38563.814,2000-01-03,0.00666821
CBERS4A,AP,2000-01-03 18:36:22.773,2000-01-03 18:45:19.587,536.81359717,5372.569,2000-01-03,0.0062131203
CBERS4A,AP,2000-01-04 05:28:12.237,2000-01-04 05:39:27.609,675.37141753,38572.65,2000-01-04,0.0078167988
CBERS4A,AP,2000-01-04 16:24:43.265,2000-01-04 16:29:10.772,267.50761347,38715.656,2000-01-04,0.0030961529
CBERS4A,AP,2000-01-04 18:00:12.285,2000-01-04 18:11:16.283,663.99795245,5461.513,2000-01-04,0.0076851615
CBERS4A,AP,2000-01-05 04:53:49.747,2000-01-05 05:03:35.417,585.66947593,38553.464,2000-01-05,0.0067785819
CBERS4A,AP,2000-01-05 06:33:14.957,2000-01-05 06:41:48.386,513.42946342,5379.54,2000-01-05,0.0059424706
CBERS4A,AP,2000-01-05 17:24:55.558,2000-01-05 17:36:17.457,681.899669,38587.172,2000-01-05,0.0078923573
CBERS4A,AP,2000-01-06 04:21:02.634,2000-01-06 04:26:11.556,308.92226481,38685.177,2000-01-06,0.0035754892
CBERS4A,AP,2000-01-06 05:56:58.015,2000-01-06 06:07:51.849,653.83376655,5446.459,2000-01-06,0.0075675204
CBERS4A,BA,2000-01-01 16:30:42.884,2000-01-01 16:41:44.889,662.00472404,0.0,2000-01-01,0.0076620917
CBERS4A,BA,2000-01-01 18:12:46.153,2000-01-01 18:17:41.697,295.54350326,5461.264,2000-01-01,0.0034206424
CBERS4A,BA,2000-01-02 04:55:21.844,2000-01-02 05:06:37.776,675.93241014,38260.147,2000-01-02,0.0078232918
CBERS4A,BA,2000-01-02 15:56:39.786,2000-01-02 16:05:42.101,542.31502673,39002.01,2000-01-02,0.0062767943
CBERS4A,BA,2000-01-02 17:35:09.289,2000-01-02 17:44:51.306,582.01688466,5367.188,2000-01-02,0.0067363065
CBERS4A,BA,2000-01-03 04:20:50.486,2000-01-03 04:30:47.048,596.56219905,38159.18,2000-01-03,0.0069046551
CBERS4A,BA,2000-01-03 06:00:20.525,2000-01-03 06:08:52.716,512.19105043,5373.477,2000-01-03,0.0059281372
CBERS4A,BA,2000-01-03 15:24:51.193,2000-01-03 15:27:36.969,165.77613921,33358.477,2000-01-03,0.0019187053
CBERS4A,BA,2000-01-03 16:59:11.274,2000-01-03 17:10:26.588,675.31388289,5494.305,2000-01-03,0.0078161329
CBERS4A,BA,2000-01-04 03:47:39.932,2000-01-04 03:53:30.768,350.83573064,38233.344,2000-01-04,0.0040605987
CBERS4A,BA,2000-01-04 05:24:09.729,2000-01-04 05:34:58.899,649.16993303,5438.961,2000-01-04,0.0075135409
CBERS4A,BA,2000-01-04 16:24:05.067,2000-01-04 16:35:16.490,671.4234635,38946.168,2000-01-04,0.0077711049
CBERS4A,BA,2000-01-04 18:07:14.963,2000-01-04 18:10:09.617,174.65374834,5518.473,2000-01-04,0.0020214554
CBERS4A,BA,2000-01-05 04:48:47.508,2000-01-05 05:00:07.055,679.54679596,38317.891,2000-01-05,0.007865125
CBERS4A,BA,2000-01-05 15:49:51.161,2000-01-05 15:59:22.786,571.62568769,38984.106,2000-01-05,0.0066160381
CBERS4A,BA,2000-01-05 17:28:51.657,2000-01-05 17:38:05.083,553.42603724,5368.871,2000-01-05,0.0064053939
CBERS4A,BA,2000-01-06 04:14:07.816,2000-01-06 04:24:25.642,617.82658406,38162.733,2000-01-06,0.0071507706
CBERS4A,BA,2000-01-06 05:54:05.879,2000-01-06 06:01:58.828,472.94849743,5380.237,2000-01-06,0.0054739409
CBERS4A,CE,2000-01-01 16:28:23.297,2000-01-01 16:39:04.913,641.6160896,0.0,2000-01-01,0.0074261121
CBERS4A,CE,2000-01-01 18:09:17.428,2000-01-01 18:15:52.125,394.69727513,5412.515,2000-01-01,0.0045682555
CBERS4A,CE,2000-01-02 04:57:49.151,2000-01-02 05:09:10.736,681.58522662,38517.026,2000-01-02,0.0078887179
CBERS4A,CE,2000-01-02 15:54:42.376,2000-01-02 16:02:36.292,473.91537636,38731.64,2000-01-02,0.0054851317
CBERS4A,CE,2000-01-02 17:32:19.236,2000-01-02 17:42:34.507,615.27071726,5382.944,2000-01-02,0.0071211889
CBERS4A,CE,2000-01-03 04:23:08.811,2000-01-03 04:33:34.441,625.6302935,38434.304,2000-01-03,0.0072410914
CBERS4A,CE,2000-01-03 06:03:32.116,2000-01-03 06:10:45.099,432.98249828,5397.675,2000-01-03,0.0050113715
CBERS4A,CE,2000-01-03 16:56:36.613,2000-01-03 17:08:00.493,683.88014414,38751.514,2000-01-03,0.0079152794
CBERS4A,CE,2000-01-04 03:49:37.749,2000-01-04 03:56:49.367,431.61843941,38497.256,2000-01-04,0.0049955838
CBERS4A,CE,2000-01-04 05:26:51.734,2000-01-04 05:37:16.652,624.91880225,5402.367,2000-01-04,0.0072328565
CBERS4A,CE,2000-01-04 16:21:43.093,2000-01-04 16:32:39.100,656.00697349,38666.441,2000-01-04,0.0075926733
CBERS4A,CE,2000-01-04 18:03:20.521,2000-01-04 18:08:43.242,322.72053317,5441.421,2000-01-04,0.0037351914
CBERS4A,CE,2000-01-05 04:51:16.438,2000-01-05 05:02:37.943,681.5055188,38553.196,2000-01-05,0.0078877954
CBERS4A,CE,2000-01-05 15:47:48.227,2000-01-05 15:56:23.407,515.1803554,38710.284,2000-01-05,0.0059627356
CBERS4A,CE,2000-01-05 17:25:58.057,2000-01-05 17:35:50.302,592.24546936,5374.65,2000-01-05,0.0068546929
CBERS4A,CE,2000-01-06 04:16:27.755,2000-01-06 04:27:10.157,642.40251475,38437.453,2000-01-06,0.0074352143
CBERS4A,CE,2000-01-06 05:57:27.865,2000-01-06 06:03:41.933,374.06826719,5417.708,2000-01-06,0.0043294938
CBERS4A,ES,2000-01-01 16:32:48.415,2000-01-01 16:43:49.907,661.49227931,0.0,2000-01-01,0.0076561606
CBERS4A,ES,2000-01-01 18:14:34.887,2000-01-01 18:20:18.559,343.67234381,5444.98,2000-01-01,0.0039776892
CBERS4A,ES,2000-01-02 04:53:37.701,2000-01-02 05:04:32.989,655.28794859,37999.142,2000-01-02,0.0075843513
CBERS4A,ES,2000-01-02 06:34:29.383,2000-01-02 06:40:57.265,387.88200142,5396.394,2000-01-02,0.004489375
CBERS4A,ES,2000-01-02 15:58:42.086,2000-01-02 16:07:53.293,551.20682276,33464.821,2000-01-02,0.0063797086
CBERS4A,ES,2000-01-02 17:37:12.538,2000-01-02 17:47:04.290,591.75248269,5359.245,2000-01-02,0.0068489871
CBERS4A,ES,2000-01-03 04:19:23.957,2000-01-03 04:28:15.990,532.03337548,37939.667,2000-01-03,0.0061577937
CBERS4A,ES,2000-01-03 05:57:48.544,2000-01-03 06:07:44.833,596.288466,5372.554,2000-01-03,0.0069014869
CBERS4A,ES,2000-01-03 15:26:19.182,2000-01-03 15:30:28.440,249.25754021,33514.349,2000-01-03,0.0028849252
CBERS4A,ES,2000-01-03 17:01:16.714,2000-01-03 17:12:32.532,675.81759703,5448.274,2000-01-03,0.0078219629
CBERS4A,ES,2000-01-04 03:47:52.208,2000-01-04 03:49:08.265,76.056810922,38119.676,2000-01-04,0.0008802872
CBERS4A,ES,2000-01-04 05:22:06.334,2000-01-04 05:33:19.604,673.26962283,5578.069,2000-01-04,0.0077924725
CBERS4A,ES,2000-01-04 16:26:10.737,2000-01-04 16:37:21.194,670.45695012,39171.133,2000-01-04,0.0077599184
CBERS4A,ES,2000-01-04 18:08:48.238,2000-01-04 18:13:04.026,255.78777285,5487.044,2000-01-04,0.0029605066
CBERS4A,ES,2000-01-05 04:47:00.856,2000-01-05 04:58:05.907,665.05075491,38036.83,2000-01-05,0.0076973467
CBERS4A,ES,2000-01-05 06:28:25.624,2000-01-05 06:33:50.107,324.48297237,5419.717,2000-01-05,0.00375559
CBERS4A,ES,2000-01-05 15:51:54.465,2000-01-05 16:01:32.257,577.79113215,33484.358,2000-01-05,0.0066873974
CBERS4A,ES,2000-01-05 17:30:54.109,2000-01-05 17:40:20.100,565.99090698,5361.852,2000-01-05,0.0065508207
CBERS4A,ES,2000-01-06 04:12:37.566,2000-01-06 04:22:00.011,562.44487254,37937.466,2000-01-06,0.0065097786
CBERS4A,ES,2000-01-06 05:51:25.959,2000-01-06 06:00:59.182,573.22337095,5365.948,2000-01-06,0.0066345298
CBERS4A,GO,2000-01-01 16:33:50.666,2000-01-01 16:42:08.685,498.01953047,0.0,2000-01-01,0.0057641149
CBERS4A,GO,2000-01-01 18:11:36.711,2000-01-01 18:21:54.921,618.21044966,5368.026,2000-01-01,0.0071552135
CBERS4A,GO,2000-01-02 04:56:08.964,2000-01-02 05:04:50.603,521.63855627,38054.043,2000-01-02,0.0060374833
CBERS4A,GO,2000-01-02 06:34:27.494,2000-01-02 06:44:22.344,594.85075503,5376.891,2000-01-02,0.0068848467
CBERS4A,GO,2000-01-02 17:35:53.055,2000-01-02 17:47:15.233,682.17801943,39090.711,2000-01-02,0.0078955789
CBERS4A,GO,2000-01-03 05:58:43.749,2000-01-03 06:09:57.758,674.00945078,43888.516,2000-01-03,0.0078010353
